,,,,,,,,,,,,
,Genotype ,Replication ,AVB,BW,NOB,BD,BL,TSS,Acidity,Compactness ,BunLength,Bunwidth 
,,R3,432.83,72.40,68.00,13.70,14.00,18.00,0.62,7.12,8.10,6.10
,Victory,R1,208.61,158.90,92.50,15.50,17.50,18.30,0.65,4.81,17.50,4.80
,,R2,220.54,163.46,66.95,16.00,17.50,17.30,0.87,4.71,15.20,5.10
,,R3,241.15,164.93,150.80,17.90,17.80,17.60,0.77,4.32,16.80,6.50
,Golden Queen,R1,211.30,172.00,45.60,17.00,18.90,22.45,0.67,4.14,13.90,8.90
,,R2,229.98,173.90,47.00,16.00,17.00,25.00,0.61,4.67,14.10,9.27
,,R3,233.30,182.00,47.30,16.30,16.90,23.60,0.50,4.58,14.80,10.40
,Alden,R1,254.30,185.08,50.30,16.90,19.00,18.20,0.78,8.80,14.60,9.70
,,R2,261.30,186.45,57.00,14.00,17.00,19.80,0.67,8.12,15.70,8.80
,,R3,273.00,176.80,57.00,15.67,17.00,17.97,0.70,8.42,12.17,10.27
,Barbarossa,R1,130.80,57.20,49.50,11.50,13.00,23.10,0.42,4.22,7.10,4.90
,,R2,148.70,61.62,45.60,14.00,16.00,21.45,0.51,4.31,11.50,6.20
,,R3,160.60,57.50,34.00,11.30,15.10,24.20,0.61,4.98,9.20,5.20
,Black Damas Rose,R1,256.80,173.57,40.90,18.50,17.90,17.80,0.76,5.26,14.50,6.70
,,R2,264.00,174.83,49.35,18.50,19.50,20.75,0.81,5.64,12.80,7.80
,,R3,299.20,182.85,38.00,16.70,18.00,19.40,0.58,5.67,16.80,8.10
,Country Bangalore,R1,234.33,157.50,74.30,17.50,19.00,21.30,0.78,6.67,8.90,7.60
,,R2,256.70,165.70,78.75,16.00,17.00,22.40,0.67,6.83,10.80,6.90
,,R3,291.60,206.80,80.67,15.20,17.50,23.33,0.71,6.12,9.60,8.30
,E19/4 B’lore blue X Chardonnay,R1,142.33,160.70,56.80,15.80,19.00,23.10,0.65,3.43,13.80,5.80
,,R2,158.70,175.79,58.00,16.00,19.00,22.60,0.78,3.23,14.70,6.90
,,R3,175.62,170.41,57.67,16.67,21.00,20.97,0.72,3.78,13.33,7.80
,E5-20 (AES X BC),R1,198.47,194.85,72.30,17.50,21.50,20.85,0.65,4.35,11.70,4.90
,,R2,204.00,207.00,74.00,19.00,21.00,19.80,0.56,4.15,10.00,5.73
,,R3,220.33,226.10,74.67,19.67,21.13,19.00,0.48,4.87,12.20,6.40
,Arka Chitra,R1,301.30,221.50,90.80,18.50,22.00,16.60,0.96,2.37,16.90,8.70
,,R2,321.35,243.80,92.22,20.00,21.00,17.80,0.81,2.89,17.60,9.90
,,R3,329.17,247.84,91.33,17.80,20.80,16.43,0.47,3.12,18.40,9.20
,E7/22 (AES X Convent large black),R1,323.40,290.80,65.80,18.50,24.50,23.85,0.73,2.80,13.80,11.20
,,R2,357.38,298.70,71.00,18.00,23.00,21.00,0.63,2.31,15.70,10.70
,,R3,373.67,303.40,67.67,17.67,22.33,22.60,0.56,2.89,14.10,11.83
,Katta,R1,293.77,127.00,125.60,15.50,17.00,19.00,0.57,9.73,14.90,10.80
,,R2,313.00,140.90,126.00,14.00,14.00,16.00,0.41,9.10,16.80,11.43
