,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Genotypes,Replication,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,NOB,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,Bunwidth,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
,,R3,0.932,9,32,92,180.33,130.80,36.70,13.30,14.10,19.00,0.47,6.89,47.80,14.03,9.33,19.20,116.00,6.89,2.0
,Champion,R1,2.738,15,38,108,50.47,99.22,24.50,16.00,20.50,18.00,0.95,4.02,49.20,8.90,4.50,12.00,132.00,6.21,1.0
,,R2,2.652,12,35,106,46.20,101.00,26.00,15.00,18.00,19.95,0.76,4.35,45.60,10.30,5.40,11.80,128.00,5.78,2.0
,,R3,2.541,13,34,103,66.50,116.25,28.30,18.10,16.10,17.90,0.58,4.78,42.30,8.70,6.70,11.50,126.00,6.01,2.0
,Doradillo,R1,1.266,11,40,106,221.30,170.80,84.50,16.50,17.50,17.50,0.79,4.70,68.92,19.50,9.40,13.00,124.00,5.43,2.0
,,R2,1.1,11,36,100,235.40,173.99,89.00,20.00,20.00,19.00,0.64,4.34,60.30,18.80,10.63,12.30,121.00,5.12,1.0
,,R3,1.002,9,38,102,248.33,186.00,86.00,17.33,19.40,17.67,0.69,4.37,55.60,17.20,11.20,13.80,118.00,4.78,1.0
,(Gulabi X B’lore Purple),R1,0.361,9,40,106,532.60,94.30,80.50,18.50,19.00,17.90,0.64,5.55,67.30,9.80,7.80,35.00,130.00,4.65,2.0
,,R2,0.321,9,38,105,556.70,106.70,79.04,15.50,17.00,19.00,0.56,5.98,61.30,11.30,6.10,32.10,127.00,4.03,2.0
,,R3,0.301,9,37,104,586.73,113.40,71.30,16.70,18.70,18.70,0.49,5.12,54.30,10.20,6.60,31.70,124.00,3.93,2.0
,Arka Kanchan,R1,0.635,9,38,110,246.45,180.90,68.50,17.00,17.90,17.20,0.51,2.74,63.67,16.90,9.30,21.00,124.00,9.87,2.0
,,R2,0.612,10,35,107,249.90,189.40,74.00,14.00,16.00,14.00,0.64,2.12,68.90,18.20,9.97,20.50,121.00,9.35,1.0
,,R3,0.623,11,36,105,246.67,198.99,74.67,15.67,16.00,16.47,0.54,2.03,45.60,16.37,11.40,21.40,119.00,8.81,2.0
,Vermentno,R1,0.098,10,38,100,107.58,91.50,74.50,16.50,18.00,21.60,0.60,5.22,61.20,12.40,8.00,20.00,120.00,5.23,1.0
,,R2,0.096,11,34,98,145.03,103.00,60.77,12.50,13.50,22.95,0.64,5.78,41.30,16.50,7.80,19.60,116.00,5.46,2.0
,,R3,0.088,10,36,99,157.87,106.00,62.70,14.80,15.10,20.90,0.70,4.89,52.70,14.20,8.80,19.10,113.00,5.12,1.0
,Viognier,R1,0.659,9,34,96,122.57,99.80,88.70,13.00,15.00,16.60,0.78,9.18,57.70,12.50,6.30,13.00,120.00,6.22,2.0
,,R2,0.647,10,32,94,129.49,105.00,92.40,16.50,12.30,16.90,0.87,9.91,46.50,10.80,5.80,12.90,115.00,6.34,2.0
,,R3,0.634,9,30,92,159.53,105.00,91.30,13.20,10.40,19.50,0.58,9.56,42.10,13.20,5.10,12.00,117.00,6.89,2.0
,Arka Chitra,R1,1.193,9,39,106,301.30,221.50,90.80,18.50,22.00,16.60,0.96,2.37,59.33,16.90,8.70,28.70,130.00,3.85,2.0
,,R2,1.089,10,34,102,321.35,243.80,92.22,20.00,21.00,17.80,0.81,2.89,50.80,17.60,9.90,26.30,127.00,3.51,1.0
,,R3,0.945,11,32,100,329.17,247.84,91.33,17.80,20.80,16.43,0.47,3.12,47.80,18.40,9.20,24.10,125.00,3.02,2.0
,Peru white,R1,0.982,9,38,106,367.80,171.10,75.00,17.50,19.50,23.60,0.63,3.56,51.20,18.30,3.60,26.00,130.00,5.01,2.0
,,R2,0.978,9,35,105,345.30,172.17,72.30,17.50,19.50,26.30,0.51,3.87,50.30,16.80,4.20,25.40,127.00,5.78,1.0
,,R3,0.892,10,33,103,301.70,194.88,77.60,17.50,19.00,24.50,0.50,5.24,43.50,17.70,5.80,23.30,129.00,5.35,2.0
,Waltham Cross,R1,1.996,10,41,100,247.50,193.80,60.50,16.50,22.00,16.75,1.09,5.39,65.78,13.40,8.80,30.70,126.00,5.31,2.0
,,R2,1.675,11,37,102,283.30,197.60,69.00,15.00,19.00,18.60,0.92,5.23,59.00,17.40,9.63,28.90,121.00,5.93,2.0
,,R3,1.782,12,35,96,291.00,210.89,69.33,17.00,19.47,19.97,0.81,5.25,53.60,16.17,10.30,27.30,124.00,4.89,2.0
,E12/2,R1,1.644,13,32,110,68.53,150.60,49.80,13.50,15.50,21.60,0.68,2.87,42.33,10.90,6.20,22.30,135.00,6.16,1.0
,,R2,1.452,10,30,107,69.00,155.60,52.00,12.00,14.00,22.50,0.55,2.12,41.30,12.70,4.80,20.80,129.00,6.34,1.0
,,R3,1.324,9,28,113,71.60,167.01,52.00,15.00,14.00,20.97,0.73,2.87,37.80,9.50,5.40,23.60,128.00,6.92,2.0
,Red prince,R1,2.01,14,38,106,120.90,100.38,57.00,14.50,18.50,19.80,0.73,3.48,67.50,14.30,5.40,30.00,131.00,6.03,2.0
,,R2,1.895,13,35,103,132.30,113.40,68.25,14.50,16.50,22.10,0.68,3.12,62.30,12.40,6.80,28.90,126.00,5.71,2.0
,,R3,1.934,12,32,109,144.57,125.85,60.80,13.30,17.70,21.20,0.60,3.70,56.70,11.80,7.50,28.40,123.00,5.90,1.0
,Maroo Seedless,R1,0.176,11,40,106,240.00,140.50,127.50,11.00,15.00,17.80,0.79,6.05,49.00,13.50,5.50,11.00,130.00,0.00,2.0
,,R2,0.099,10,38,104,251.48,149.35,123.60,15.00,15.40,20.70,0.71,6.78,45.70,11.30,6.40,10.30,127.00,0.00,1.0
,,R3,0.123,9,37,108,282.40,154.26,120.67,14.00,13.50,19.60,0.64,6.46,41.20,12.80,7.10,9.40,125.00,0.00,2.0
,E29/3 (BC XTS),R1,0.973,8,43,100,367.80,106.40,130.50,12.00,13.50,22.90,0.70,6.87,63.24,18.70,12.70,28.00,120.00,0.00,1.0
,,R2,0.893,9,41,98,340.50,110.80,141.11,12.50,13.00,21.35,0.61,6.23,56.70,16.50,13.30,27.30,116.00,0.00,2.0
,,R3,0.812,8,38,102,358.80,115.50,150.80,14.40,17.10,20.80,0.53,6.79,51.40,17.00,14.20,26.10,113.00,0.00,1.0
